week_nr,year,week,month,Calculators,Campaign page,Product page app,Product page open,Product page secured,Date,Visitor or Client,MonthvsWeek,month_year
05,2022,5,February,31702,1348,0,12360,265,2022-01-29,total,Week,NA
06,2022,6,February,32945,1518,0,12783,279,2022-02-05,total,Week,NA
07,2022,7,February,33538,1345,0,12675,282,2022-02-12,total,Week,NA
08,2022,8,February,31220,1179,0,11834,270,2022-02-19,total,Week,NA
09,2022,9,February,4316,166,0,1763,55,2022-02-26,total,Week,NA
09,2022,9,March,24492,1065,0,8669,194,2022-02-26,total,Week,NA
10,2022,10,March,26526,1186,0,9748,226,2022-03-05,total,Week,NA
11,2022,11,March,30266,1531,0,11792,300,2022-03-12,total,Week,NA
12,2022,12,March,28338,1267,0,10834,275,2022-03-19,total,Week,NA
13,2022,13,April,11596,302,0,3758,85,2022-03-26,total,Week,NA
13,2022,13,March,19370,679,0,7215,150,2022-03-26,total,Week,NA
14,2022,14,April,26139,914,0,11474,201,2022-04-02,total,Week,NA
15,2022,15,April,24973,778,0,8982,205,2022-04-09,total,Week,NA
16,2022,16,April,25030,1020,0,9486,213,2022-04-16,total,Week,NA
17,2022,17,April,23000,1197,0,11496,237,2022-04-23,total,Week,NA
17,2022,17,May,3865,153,0,1326,40,2022-04-23,total,Week,NA
18,2022,18,May,29990,1973,0,21931,360,2022-04-30,total,Week,NA
19,2022,19,May,25093,916,0,11288,249,2022-05-07,total,Week,NA
20,2022,20,May,25400,837,0,10035,219,2022-05-14,total,Week,NA
21,2022,21,May,22405,723,0,9372,212,2022-05-21,total,Week,NA
22,2022,22,June,17321,753,0,5994,123,2022-05-28,total,Week,NA
22,2022,22,May,8626,228,0,3209,74,2022-05-28,total,Week,NA
23,2022,23,June,31836,1519,0,19464,304,2022-06-04,total,Week,NA
24,2022,24,June,27058,1286,0,12289,241,2022-06-11,total,Week,NA
25,2022,25,June,27504,1477,0,12244,198,2022-06-18,total,Week,NA
26,2022,26,July,10877,720,0,5288,92,2022-06-25,total,Week,NA
26,2022,26,June,15023,1011,0,7281,122,2022-06-25,total,Week,NA
27,2022,27,July,34820,2525,0,18330,294,2022-07-02,total,Week,NA
28,2022,28,July,28908,1320,0,12737,218,2022-07-09,total,Week,NA
29,2022,29,July,31794,1143,0,13983,221,2022-07-16,total,Week,NA
30,2022,30,July,34259,1107,0,19532,265,2022-07-23,total,Week,NA
31,2022,31,August,40218,1439,0,23533,271,2022-07-30,total,Week,NA
32,2022,32,August,31962,1015,0,14854,225,2022-08-06,total,Week,NA
33,2022,33,August,34247,2012,0,11941,209,2022-08-13,total,Week,NA
34,2022,34,August,32984,2018,0,14120,221,2022-08-20,total,Week,NA
35,2022,35,August,18096,1086,0,6335,113,2022-08-27,total,Week,NA
35,2022,35,September,18925,1125,0,6161,101,2022-08-27,total,Week,NA
36,2022,36,September,37625,2292,0,15427,238,2022-09-03,total,Week,NA
37,2022,37,September,33760,1788,0,14081,194,2022-09-10,total,Week,NA
38,2022,38,September,32343,1686,0,12240,225,2022-09-17,total,Week,NA
39,2022,39,October,10046,455,0,2539,38,2022-09-24,total,Week,NA
39,2022,39,September,26369,1631,0,10360,172,2022-09-24,total,Week,NA
40,2022,40,October,42266,2711,0,17179,249,2022-10-01,total,Week,NA
41,2022,41,October,32725,2042,0,13572,216,2022-10-08,total,Week,NA
42,2022,42,October,36116,2032,0,12616,218,2022-10-15,total,Week,NA
43,2022,43,October,29884,1775,0,12388,221,2022-10-22,total,Week,NA
44,2022,44,November,29978,1432,0,13471,229,2022-10-29,total,Week,NA
44,2022,44,October,4219,226,0,1893,31,2022-10-29,total,Week,NA
45,2022,45,November,28162,1132,0,13430,197,2022-11-05,total,Week,NA
46,2022,46,November,32923,1644,0,12893,181,2022-11-12,total,Week,NA
47,2022,47,November,29211,1780,0,11356,205,2022-11-19,total,Week,NA
48,2022,48,December,15346,1164,0,5112,84,2022-11-26,total,Week,NA
48,2022,48,November,10610,330,0,5603,109,2022-11-26,total,Week,NA
49,2022,49,December,32048,3325,0,14387,210,2022-12-03,total,Week,NA
50,2022,50,December,27505,2943,0,9253,170,2022-12-10,total,Week,NA
51,2022,51,December,23041,2780,0,7390,117,2022-12-17,total,Week,NA
52,2022,52,December,22970,2226,0,5587,136,2022-12-24,total,Week,NA
00,2023,0,January,4429,377,0,837,20,2022-12-25,total,Week,NA
01,2023,1,January,31847,1248,0,11199,231,2023-01-01,total,Week,NA
02,2023,2,January,33155,721,0,13338,258,2023-01-08,total,Week,NA
03,2023,3,January,32448,391,0,12865,259,2023-01-15,total,Week,NA
04,2023,4,January,31016,351,0,11390,226,2023-01-22,total,Week,NA
05,2023,5,January,12126,139,0,4784,102,2023-01-29,total,Week,NA
05,2022,5,February,0,0,NA,0,0,2022-01-29,::unspecified::,Week,NA
05,2022,5,February,0,0,0,0,265,2022-01-29,client,Week,NA
05,2022,5,February,31702,1348,NA,12360,0,2022-01-29,visitor,Week,NA
06,2022,6,February,0,0,NA,0,0,2022-02-05,::unspecified::,Week,NA
06,2022,6,February,0,0,0,0,279,2022-02-05,client,Week,NA
06,2022,6,February,32945,1518,NA,12783,0,2022-02-05,visitor,Week,NA
07,2022,7,February,0,0,NA,0,0,2022-02-12,::unspecified::,Week,NA
07,2022,7,February,0,0,0,0,282,2022-02-12,client,Week,NA
07,2022,7,February,33538,1345,NA,12675,0,2022-02-12,visitor,Week,NA
08,2022,8,February,0,0,NA,0,0,2022-02-19,::unspecified::,Week,NA
08,2022,8,February,0,0,0,0,270,2022-02-19,client,Week,NA
08,2022,8,February,31220,1179,NA,11834,0,2022-02-19,visitor,Week,NA
09,2022,9,February,0,0,NA,0,0,2022-02-26,::unspecified::,Week,NA
09,2022,9,February,0,0,0,0,55,2022-02-26,client,Week,NA
09,2022,9,February,4316,166,NA,1763,0,2022-02-26,visitor,Week,NA
09,2022,9,March,0,0,NA,0,0,2022-02-26,::unspecified::,Week,NA
09,2022,9,March,0,0,0,0,194,2022-02-26,client,Week,NA
09,2022,9,March,24492,1065,NA,8669,0,2022-02-26,visitor,Week,NA
10,2022,10,March,0,0,NA,0,0,2022-03-05,::unspecified::,Week,NA
10,2022,10,March,0,0,0,0,226,2022-03-05,client,Week,NA
10,2022,10,March,26526,1186,NA,9748,0,2022-03-05,visitor,Week,NA
11,2022,11,March,0,0,NA,0,0,2022-03-12,::unspecified::,Week,NA
11,2022,11,March,0,0,0,0,300,2022-03-12,client,Week,NA
11,2022,11,March,30266,1531,NA,11792,0,2022-03-12,visitor,Week,NA
12,2022,12,March,0,0,NA,0,0,2022-03-19,::unspecified::,Week,NA
12,2022,12,March,0,0,0,0,275,2022-03-19,client,Week,NA
12,2022,12,March,28338,1267,NA,10834,0,2022-03-19,visitor,Week,NA
13,2022,13,April,0,0,NA,0,0,2022-03-26,::unspecified::,Week,NA
13,2022,13,April,0,0,0,0,85,2022-03-26,client,Week,NA
13,2022,13,April,11596,302,NA,3758,0,2022-03-26,visitor,Week,NA
13,2022,13,March,0,0,NA,0,0,2022-03-26,::unspecified::,Week,NA
13,2022,13,March,0,0,0,0,150,2022-03-26,client,Week,NA
13,2022,13,March,19370,679,NA,7215,0,2022-03-26,visitor,Week,NA
14,2022,14,April,0,0,NA,0,0,2022-04-02,::unspecified::,Week,NA
14,2022,14,April,0,0,0,0,201,2022-04-02,client,Week,NA
14,2022,14,April,26139,914,NA,11474,0,2022-04-02,visitor,Week,NA
15,2022,15,April,0,0,NA,0,0,2022-04-09,::unspecified::,Week,NA
15,2022,15,April,0,0,0,0,205,2022-04-09,client,Week,NA
15,2022,15,April,24973,778,NA,8982,0,2022-04-09,visitor,Week,NA
16,2022,16,April,0,0,NA,0,0,2022-04-16,::unspecified::,Week,NA
16,2022,16,April,0,0,0,0,213,2022-04-16,client,Week,NA
16,2022,16,April,25030,1020,NA,9486,0,2022-04-16,visitor,Week,NA
17,2022,17,April,0,0,NA,0,0,2022-04-23,::unspecified::,Week,NA
17,2022,17,April,0,0,0,0,237,2022-04-23,client,Week,NA
17,2022,17,April,23000,1197,NA,11496,0,2022-04-23,visitor,Week,NA
17,2022,17,May,0,0,NA,0,0,2022-04-23,::unspecified::,Week,NA
17,2022,17,May,0,0,0,0,40,2022-04-23,client,Week,NA
17,2022,17,May,3865,153,NA,1326,0,2022-04-23,visitor,Week,NA
18,2022,18,May,0,0,NA,0,0,2022-04-30,::unspecified::,Week,NA
18,2022,18,May,0,0,0,0,360,2022-04-30,client,Week,NA
18,2022,18,May,29990,1973,NA,21931,0,2022-04-30,visitor,Week,NA
19,2022,19,May,0,0,NA,0,0,2022-05-07,::unspecified::,Week,NA
19,2022,19,May,0,0,0,0,249,2022-05-07,client,Week,NA
19,2022,19,May,25093,916,NA,11288,0,2022-05-07,visitor,Week,NA
20,2022,20,May,0,0,NA,0,0,2022-05-14,::unspecified::,Week,NA
20,2022,20,May,0,0,0,0,219,2022-05-14,client,Week,NA
20,2022,20,May,25400,837,NA,10035,0,2022-05-14,visitor,Week,NA
21,2022,21,May,0,0,NA,0,0,2022-05-21,::unspecified::,Week,NA
21,2022,21,May,0,0,0,0,212,2022-05-21,client,Week,NA
21,2022,21,May,22405,723,NA,9372,0,2022-05-21,visitor,Week,NA
22,2022,22,June,0,0,NA,0,0,2022-05-28,::unspecified::,Week,NA
22,2022,22,June,0,0,0,0,123,2022-05-28,client,Week,NA
22,2022,22,June,17321,753,NA,5994,0,2022-05-28,visitor,Week,NA
22,2022,22,May,0,0,NA,0,0,2022-05-28,::unspecified::,Week,NA
22,2022,22,May,0,0,0,0,74,2022-05-28,client,Week,NA
22,2022,22,May,8626,228,NA,3209,0,2022-05-28,visitor,Week,NA
23,2022,23,June,0,0,NA,0,0,2022-06-04,::unspecified::,Week,NA
23,2022,23,June,0,0,0,0,304,2022-06-04,client,Week,NA
23,2022,23,June,31836,1519,NA,19464,0,2022-06-04,visitor,Week,NA
24,2022,24,June,0,0,NA,0,0,2022-06-11,::unspecified::,Week,NA
24,2022,24,June,0,0,0,0,241,2022-06-11,client,Week,NA
24,2022,24,June,27058,1286,NA,12289,0,2022-06-11,visitor,Week,NA
25,2022,25,June,0,0,NA,0,0,2022-06-18,::unspecified::,Week,NA
25,2022,25,June,0,0,0,0,198,2022-06-18,client,Week,NA
25,2022,25,June,27504,1477,NA,12244,0,2022-06-18,visitor,Week,NA
26,2022,26,July,0,0,NA,0,0,2022-06-25,::unspecified::,Week,NA
26,2022,26,July,0,0,0,0,92,2022-06-25,client,Week,NA
26,2022,26,July,10877,720,NA,5288,0,2022-06-25,visitor,Week,NA
26,2022,26,June,0,0,NA,0,0,2022-06-25,::unspecified::,Week,NA
26,2022,26,June,0,0,0,0,122,2022-06-25,client,Week,NA
26,2022,26,June,15023,1011,NA,7281,0,2022-06-25,visitor,Week,NA
27,2022,27,July,0,0,NA,0,0,2022-07-02,::unspecified::,Week,NA
27,2022,27,July,0,0,0,0,294,2022-07-02,client,Week,NA
27,2022,27,July,34820,2525,NA,18330,0,2022-07-02,visitor,Week,NA
28,2022,28,July,0,0,NA,0,0,2022-07-09,::unspecified::,Week,NA
28,2022,28,July,0,0,0,0,218,2022-07-09,client,Week,NA
28,2022,28,July,28908,1320,NA,12737,0,2022-07-09,visitor,Week,NA
29,2022,29,July,0,0,NA,0,0,2022-07-16,::unspecified::,Week,NA
29,2022,29,July,0,0,0,0,221,2022-07-16,client,Week,NA
29,2022,29,July,31794,1143,NA,13983,0,2022-07-16,visitor,Week,NA
30,2022,30,July,0,0,NA,0,0,2022-07-23,::unspecified::,Week,NA
30,2022,30,July,0,0,0,0,265,2022-07-23,client,Week,NA
30,2022,30,July,34259,1107,NA,19532,0,2022-07-23,visitor,Week,NA
31,2022,31,August,0,0,NA,0,0,2022-07-30,::unspecified::,Week,NA
31,2022,31,August,0,0,0,0,271,2022-07-30,client,Week,NA
31,2022,31,August,40218,1439,NA,23533,0,2022-07-30,visitor,Week,NA
32,2022,32,August,0,0,NA,0,0,2022-08-06,::unspecified::,Week,NA
32,2022,32,August,0,0,0,0,225,2022-08-06,client,Week,NA
32,2022,32,August,31962,1015,NA,14854,0,2022-08-06,visitor,Week,NA
33,2022,33,August,0,0,NA,0,0,2022-08-13,::unspecified::,Week,NA
33,2022,33,August,0,0,0,0,209,2022-08-13,client,Week,NA
33,2022,33,August,34247,2012,NA,11941,0,2022-08-13,visitor,Week,NA
34,2022,34,August,0,0,NA,0,0,2022-08-20,::unspecified::,Week,NA
34,2022,34,August,0,0,0,0,221,2022-08-20,client,Week,NA
34,2022,34,August,32984,2018,NA,14120,0,2022-08-20,visitor,Week,NA
35,2022,35,August,0,0,NA,0,0,2022-08-27,::unspecified::,Week,NA
35,2022,35,August,0,0,0,0,113,2022-08-27,client,Week,NA
35,2022,35,August,18096,1086,NA,6335,0,2022-08-27,visitor,Week,NA
35,2022,35,September,0,0,NA,0,0,2022-08-27,::unspecified::,Week,NA
35,2022,35,September,0,0,0,0,101,2022-08-27,client,Week,NA
35,2022,35,September,18925,1125,NA,6161,0,2022-08-27,visitor,Week,NA
36,2022,36,September,0,0,NA,0,0,2022-09-03,::unspecified::,Week,NA
36,2022,36,September,0,0,0,0,238,2022-09-03,client,Week,NA
36,2022,36,September,37625,2292,NA,15427,0,2022-09-03,visitor,Week,NA
37,2022,37,September,0,0,NA,0,0,2022-09-10,::unspecified::,Week,NA
37,2022,37,September,0,0,0,0,194,2022-09-10,client,Week,NA
37,2022,37,September,33760,1788,NA,14081,0,2022-09-10,visitor,Week,NA
38,2022,38,September,0,0,NA,0,0,2022-09-17,::unspecified::,Week,NA
38,2022,38,September,0,0,0,0,225,2022-09-17,client,Week,NA
38,2022,38,September,32343,1686,NA,12240,0,2022-09-17,visitor,Week,NA
39,2022,39,October,0,0,NA,0,0,2022-09-24,::unspecified::,Week,NA
39,2022,39,October,0,0,0,0,38,2022-09-24,client,Week,NA
39,2022,39,October,10046,455,NA,2539,0,2022-09-24,visitor,Week,NA
39,2022,39,September,0,0,NA,0,0,2022-09-24,::unspecified::,Week,NA
39,2022,39,September,0,0,0,0,172,2022-09-24,client,Week,NA
39,2022,39,September,26369,1631,NA,10360,0,2022-09-24,visitor,Week,NA
40,2022,40,October,0,0,NA,0,0,2022-10-01,::unspecified::,Week,NA
40,2022,40,October,0,0,0,0,249,2022-10-01,client,Week,NA
40,2022,40,October,42266,2711,NA,17179,0,2022-10-01,visitor,Week,NA
41,2022,41,October,0,0,NA,0,0,2022-10-08,::unspecified::,Week,NA
41,2022,41,October,0,0,0,0,216,2022-10-08,client,Week,NA
41,2022,41,October,32725,2042,NA,13572,0,2022-10-08,visitor,Week,NA
42,2022,42,October,0,0,NA,0,0,2022-10-15,::unspecified::,Week,NA
42,2022,42,October,0,0,0,0,218,2022-10-15,client,Week,NA
42,2022,42,October,36116,2032,NA,12616,0,2022-10-15,visitor,Week,NA
43,2022,43,October,0,0,NA,0,0,2022-10-22,::unspecified::,Week,NA
43,2022,43,October,0,0,0,0,221,2022-10-22,client,Week,NA
43,2022,43,October,29884,1775,NA,12388,0,2022-10-22,visitor,Week,NA
44,2022,44,November,0,0,NA,0,0,2022-10-29,::unspecified::,Week,NA
44,2022,44,November,0,0,0,0,229,2022-10-29,client,Week,NA
44,2022,44,November,29978,1432,NA,13471,0,2022-10-29,visitor,Week,NA
44,2022,44,October,0,0,NA,0,0,2022-10-29,::unspecified::,Week,NA
44,2022,44,October,0,0,0,0,31,2022-10-29,client,Week,NA
44,2022,44,October,4219,226,NA,1893,0,2022-10-29,visitor,Week,NA
45,2022,45,November,0,0,NA,0,0,2022-11-05,::unspecified::,Week,NA
45,2022,45,November,0,0,0,0,197,2022-11-05,client,Week,NA
45,2022,45,November,28162,1132,NA,13430,0,2022-11-05,visitor,Week,NA
46,2022,46,November,0,0,NA,0,0,2022-11-12,::unspecified::,Week,NA
46,2022,46,November,0,0,0,0,181,2022-11-12,client,Week,NA
46,2022,46,November,32923,1644,NA,12893,0,2022-11-12,visitor,Week,NA
47,2022,47,November,0,0,NA,0,0,2022-11-19,::unspecified::,Week,NA
47,2022,47,November,0,0,0,0,205,2022-11-19,client,Week,NA
47,2022,47,November,29211,1780,NA,11356,0,2022-11-19,visitor,Week,NA
48,2022,48,December,0,0,NA,0,0,2022-11-26,::unspecified::,Week,NA
48,2022,48,December,0,0,0,0,84,2022-11-26,client,Week,NA
48,2022,48,December,15346,1164,NA,5112,0,2022-11-26,visitor,Week,NA
48,2022,48,November,0,0,NA,0,0,2022-11-26,::unspecified::,Week,NA
48,2022,48,November,0,0,0,0,109,2022-11-26,client,Week,NA
48,2022,48,November,10610,330,NA,5603,0,2022-11-26,visitor,Week,NA
49,2022,49,December,0,0,NA,0,0,2022-12-03,::unspecified::,Week,NA
49,2022,49,December,0,0,0,0,210,2022-12-03,client,Week,NA
49,2022,49,December,32048,3325,NA,14387,0,2022-12-03,visitor,Week,NA
50,2022,50,December,0,0,NA,0,0,2022-12-10,::unspecified::,Week,NA
50,2022,50,December,0,0,0,0,170,2022-12-10,client,Week,NA
50,2022,50,December,27505,2943,NA,9253,0,2022-12-10,visitor,Week,NA
51,2022,51,December,0,0,NA,0,0,2022-12-17,::unspecified::,Week,NA
51,2022,51,December,0,0,0,0,117,2022-12-17,client,Week,NA
51,2022,51,December,23041,2780,NA,7390,0,2022-12-17,visitor,Week,NA
52,2022,52,December,0,0,NA,0,0,2022-12-24,::unspecified::,Week,NA
52,2022,52,December,0,0,0,0,136,2022-12-24,client,Week,NA
52,2022,52,December,22970,2226,NA,5587,0,2022-12-24,visitor,Week,NA
00,2023,0,January,0,0,NA,0,0,2022-12-25,::unspecified::,Week,NA
00,2023,0,January,0,0,0,0,20,2022-12-25,client,Week,NA
00,2023,0,January,4429,377,NA,837,0,2022-12-25,visitor,Week,NA
01,2023,1,January,0,0,NA,0,0,2023-01-01,::unspecified::,Week,NA
01,2023,1,January,0,0,0,0,231,2023-01-01,client,Week,NA
01,2023,1,January,31847,1248,NA,11199,0,2023-01-01,visitor,Week,NA
02,2023,2,January,0,0,NA,0,0,2023-01-08,::unspecified::,Week,NA
02,2023,2,January,0,0,0,0,258,2023-01-08,client,Week,NA
02,2023,2,January,33155,721,NA,13338,0,2023-01-08,visitor,Week,NA
03,2023,3,January,0,0,NA,0,0,2023-01-15,::unspecified::,Week,NA
03,2023,3,January,0,0,0,0,259,2023-01-15,client,Week,NA
03,2023,3,January,32448,391,NA,12865,0,2023-01-15,visitor,Week,NA
04,2023,4,January,0,0,NA,0,0,2023-01-22,::unspecified::,Week,NA
04,2023,4,January,0,0,0,0,226,2023-01-22,client,Week,NA
04,2023,4,January,31016,351,NA,11390,0,2023-01-22,visitor,Week,NA
05,2023,5,January,0,0,NA,0,0,2023-01-29,::unspecified::,Week,NA
05,2023,5,January,0,0,0,0,102,2023-01-29,client,Week,NA
05,2023,5,January,12126,139,NA,4784,0,2023-01-29,visitor,Week,NA
NA,2022,NA,02,0,0,NA,0,0,2022-02-01,::unspecified::,Month,02-2022
NA,2022,NA,02,0,0,0,0,1151,2022-02-01,client,Month,02-2022
NA,2022,NA,02,133721,5556,NA,51415,0,2022-02-01,visitor,Month,02-2022
NA,2022,NA,03,0,0,NA,0,0,2022-03-01,::unspecified::,Month,03-2022
NA,2022,NA,03,0,0,0,0,1145,2022-03-01,client,Month,03-2022
NA,2022,NA,03,128992,5728,NA,48258,0,2022-03-01,visitor,Month,03-2022
NA,2022,NA,04,0,0,NA,0,0,2022-04-01,::unspecified::,Month,04-2022
NA,2022,NA,04,0,0,0,0,941,2022-04-01,client,Month,04-2022
NA,2022,NA,04,110738,4211,NA,45196,0,2022-04-01,visitor,Month,04-2022
NA,2022,NA,05,0,0,NA,0,0,2022-05-01,::unspecified::,Month,05-2022
NA,2022,NA,05,0,0,0,0,1154,2022-05-01,client,Month,05-2022
NA,2022,NA,05,115379,4830,NA,57161,0,2022-05-01,visitor,Month,05-2022
NA,2022,NA,06,0,0,NA,0,0,2022-06-01,::unspecified::,Month,06-2022
NA,2022,NA,06,0,0,0,0,988,2022-06-01,client,Month,06-2022
NA,2022,NA,06,118742,6046,NA,57272,0,2022-06-01,visitor,Month,06-2022
NA,2022,NA,07,0,0,NA,0,0,2022-07-01,::unspecified::,Month,07-2022
NA,2022,NA,07,0,0,0,0,1090,2022-07-01,client,Month,07-2022
NA,2022,NA,07,140658,6815,NA,69870,0,2022-07-01,visitor,Month,07-2022
NA,2022,NA,08,0,0,NA,0,0,2022-08-01,::unspecified::,Month,08-2022
NA,2022,NA,08,0,0,0,0,1039,2022-08-01,client,Month,08-2022
NA,2022,NA,08,157507,7570,NA,70783,0,2022-08-01,visitor,Month,08-2022
NA,2022,NA,09,0,0,NA,0,0,2022-09-01,::unspecified::,Month,09-2022
NA,2022,NA,09,0,0,0,0,930,2022-09-01,client,Month,09-2022
NA,2022,NA,09,149022,8522,NA,58269,0,2022-09-01,visitor,Month,09-2022
NA,2022,NA,10,0,0,NA,0,0,2022-10-01,::unspecified::,Month,10-2022
NA,2022,NA,10,0,0,0,0,973,2022-10-01,client,Month,10-2022
NA,2022,NA,10,155256,9241,NA,60187,0,2022-10-01,visitor,Month,10-2022
NA,2022,NA,11,0,0,NA,0,0,2022-11-01,::unspecified::,Month,11-2022
NA,2022,NA,11,0,0,0,0,921,2022-11-01,client,Month,11-2022
NA,2022,NA,11,130884,6318,NA,56753,0,2022-11-01,visitor,Month,11-2022
NA,2022,NA,12,0,0,NA,0,0,2022-12-01,::unspecified::,Month,12-2022
NA,2022,NA,12,0,0,0,0,717,2022-12-01,client,Month,12-2022
NA,2022,NA,12,120910,12438,NA,41729,0,2022-12-01,visitor,Month,12-2022
NA,2023,NA,01,0,0,NA,0,0,2023-01-01,::unspecified::,Month,01-2023
NA,2023,NA,01,0,0,0,0,1096,2023-01-01,client,Month,01-2023
NA,2023,NA,01,145021,3227,NA,54413,0,2023-01-01,visitor,Month,01-2023
NA,2022,NA,02,133721,5556,0,51415,1151,2022-02-01,total,Month,02-2022
NA,2022,NA,03,128992,5728,0,48258,1145,2022-03-01,total,Month,03-2022
NA,2022,NA,04,110738,4211,0,45196,941,2022-04-01,total,Month,04-2022
NA,2022,NA,05,115379,4830,0,57161,1154,2022-05-01,total,Month,05-2022
NA,2022,NA,06,118742,6046,0,57272,988,2022-06-01,total,Month,06-2022
NA,2022,NA,07,140658,6815,0,69870,1090,2022-07-01,total,Month,07-2022
NA,2022,NA,08,157507,7570,0,70783,1039,2022-08-01,total,Month,08-2022
NA,2022,NA,09,149022,8522,0,58269,930,2022-09-01,total,Month,09-2022
NA,2022,NA,10,155256,9241,0,60187,973,2022-10-01,total,Month,10-2022
NA,2022,NA,11,130884,6318,0,56753,921,2022-11-01,total,Month,11-2022
NA,2022,NA,12,120910,12438,0,41729,717,2022-12-01,total,Month,12-2022
NA,2023,NA,01,145021,3227,0,54413,1096,2023-01-01,total,Month,01-2023
