Week,borrowing power: (Australia),Home loans: (Australia)
2022-07-31,16,92
2022-08-07,16,89
2022-08-14,15,80
2022-08-21,16,73
2022-08-28,21,76
2022-09-04,17,75
2022-09-11,20,65
2022-09-18,16,72
2022-09-25,16,79
2022-10-02,20,80
2022-10-09,18,77
2022-10-16,14,74
2022-10-23,13,77
2022-10-30,16,81
2022-11-06,18,75
2022-11-13,16,70
2022-11-20,13,59
2022-11-27,15,56
2022-12-04,16,72
2022-12-11,17,64
2022-12-18,13,54
2022-12-25,12,37
2023-01-01,17,59
2023-01-08,23,69
2023-01-15,20,72
2023-01-22,26,61
2023-01-29,18,78
2023-02-05,19,100
2023-02-12,18,87
2023-02-19,18,81
2023-02-26,19,77
2023-03-05,19,89
2023-03-12,21,64
2023-03-19,16,69
2023-03-26,17,66
2023-04-02,16,61
2023-04-09,21,64
2023-04-16,20,71
2023-04-23,20,62
2023-04-30,20,75
2023-05-07,16,64
2023-05-14,24,74
2023-05-21,22,67
2023-05-28,22,64
2023-06-04,20,80
2023-06-11,23,66
2023-06-18,18,70
2023-06-25,19,72
2023-07-02,20,67
2023-07-09,15,67
2023-07-16,21,63
2023-07-23,17,66